Price,Address,Squares,Rooms,Floor
1.500 €,"Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona",62 m2,2.0,V/21
600 €,"Opština Voždovac, Naselje Stepa Stepanović, Generala Štefanika",50 m2,1.5,II/6
N/A,N/A,N/A,N/A,N/A
790 €,"Opština Savski venac, Svetozara Markovića, Svetozara Markovića",50 m2,2.0,IV/6
450 €,"Opština Palilula, Karaburma, Jastrebačka",46 m2,2.0,II/2
500 €,"Opština Savski venac, Klinički centar, Dobropoljska",46 m2,2.0,I
900 €,"Opština Zvezdara, Cvetkova pijaca, Preševska",70 m2,3.0,I
1.250 €,"Opština Stari grad, Francuska",89 m2,3.0,II/5
450 €,"Opština Palilula, Višnjička Banja, Slanački put",60 m2,3.0,VPR/1
800 €,"Opština Palilula, Botanička bašta, Dalmatinska",77 m2,2.0,IV/7
1.200 €,"Opština Vračar, Krunski venac, Kneginje Zorke",95 m2,3.0,II
900 €,"Opština Vračar, Južni bulevar, Južni Bulevar",115 m2,4.0,V/7
400 €,"Opština Voždovac, Braće Jerković, Nade Naumovic 5",54 m2,2.0,I/4
650 €,"Opština Savski venac, Humska, Dobropoljska",60 m2,2.0,I/6
250 €,"Opština Palilula, Borča, 1. maja",25 m2,0.5,II/3
1.250 €,"Opština Savski venac, Dedinje, Alekse Bačvanskog",93 m2,5+,SUT/1
500 €,"Opština Čukarica, Banovo brdo, Petra Lekovića",54 m2,2.0,III
700 €,"Opština Vračar, Neimar, Internacionalnih brigada",47 m2,1.5,IV/6
1.400 €,"Opština Savski venac, Beograd na vodi, Luke Ćelovića Trebinjca",80 m2,2.0,VII/9
800 €,"Opština Zvezdara, Lion, Vranjska",47 m2,2.0,IV/5
2.400 €,"Opština Vračar, Hram svetog Save, Nebojšina",165 m2,3.0,V/5
400 €,"Opština Vračar, Crveni krst, ",49 m2,2.0,I/17
1.500 €,"Opština Savski venac, Beograd na vodi, ",94 m2,3.0,VIII/27
1.300 €,"Opština Savski venac, Beograd na vodi, ",81 m2,3.0,IX/13
400 €,"Opština Stari grad, Kalemegdan, ",21 m2,1.0,PR/4
450 €,"Opština Čukarica, Ada Ciganlija, ",56 m2,2.0,VI/6
400 €,"Opština Zvezdara, Bulevar kralja Aleksandra, Voje Veljkovića",40 m2,2.0,VPR
950 €,"Opština Stari grad, Dorćol, Strahinjića Bana",73 m2,3.0,III/5
2.200 €,"Opština Stari grad, Gundulićev venac, 11",101 m2,4.0,VI/7
2.000 €,"Opština Novi Beograd, Blok 65, Omladinskih brigada",93 m2,3.0,XV
1.350 €,"Opština Vračar, Neimar, Hadži Melentijeva",90 m2,3.0,III/5
800 €,"Opština Vračar, Bulevar kralja Aleksandra, Vojvode Bogdana",73 m2,3.0,VPR/4
400 €,"Opština Obrenovac, Obrenovac (mesto), Kralja Petra I",50 m2,2.0,II/5
450 €,"Opština Zemun, Altina, Dobanovački Put",47 m2,2.5,IV/5
350 €,"Opština Stari grad, Andrićev venac, Andrićev venac",12 m2,0.5,I/4
550 €,"Opština Zemun, Kej, Jovana Subotića",44 m2,2.0,II/3
500 €,"Opština Novi Beograd, Stari Merkator, Bulevar Mihajla Pupina 205",41 m2,1.0,V/17
1.150 €,"Opština Stari grad, Skupština, Majke Jevrosime",68 m2,3.0,IV/4
1.000 €,"Opština Savski venac, Beograd na vodi, Luke Celovica Trebinjca",58 m2,2.0,III/6
550 €,"Opština Novi Beograd, Blok 70a, Dr Agostina Neta",65 m2,2.0,VIII/8
900 €,"Opština Savski venac, Dedinje, kod Pinka",75 m2,3.0,III
1.800 €,"Opština Savski venac, Beograd na vodi, Hercegovačka",93 m2,3.0,VI
1.200 €,"Opština Novi Beograd, Blok 65, Bulevar heroja sa Košara",62 m2,3.0,I
950 €,"Opština Novi Beograd, Hotel Jugoslavija, Bulevar Nikole Tesle",60 m2,3.0,PR/5
800 €,"Opština Zemun, Zelena avenija, Tošin bunar",55 m2,2.5,I
1.000 €,"Opština Novi Beograd, Blok 65, Tadije Sondermajera",52 m2,2.0,VII/9
1.500 €,"Opština Savski venac, Beograd na vodi, Luke Ćelovića Trebinjca",77 m2,3.0,I/8
1.200 €,"Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona",55 m2,2.0,XXII/24
700 €,"Opština Novi Beograd, Blok 67a (A blok), Jurija Gagarina",39 m2,1.0,III/12
2.800 €,"Opština Novi Beograd, Blok 65, Tadije Sondermajera",160 m2,5.0,XXI/22
300 €,"Opština Vračar, Južni bulevar, Južni bulevar",22 m2,0.5,XI/13
500 €,"Opština Vračar, Kalenić pijaca, Baba Višnjina",44 m2,1.5,VPR
850 €,"Opština Vračar, Slavija, Svetozara Markovića",67 m2,2.5,I
1.100 €,"Opština Savski venac, Beograd na vodi, Luke Celovica Trebinjca",58 m2,2.0,IX/17
1.100 €,"Opština Savski venac, Beograd na vodi, Bulevar Vudroa Vilsona",56 m2,2.0,II/24
350 €,"Opština Vračar, Kalenić pijaca, Sumatovacka",26 m2,1.0,II/5
350 €,"Opština Čukarica, Čukarička padina, Radnicka",38 m2,1.0,III/7
800 €,"Opština Novi Beograd, Blok 65, Omladinskih Brigada",46 m2,2.0,V/6
400 €,"Opština Rakovica, Miljakovac, Čelebićka",75 m2,3.0,III/4
1.900 €,"Opština Savski venac, Beograd na vodi, Hercegovačka",90 m2,3.0,XV
3.000 €,"Opština Vračar, Čubura, Patrijarha Gavrila",240 m2,5.0,VI
